Type,Food,Size,Price
MealsMeal Includes Small French Fries & Small Drink,Classic Roast Beef,,4.21
MealsMeal Includes Small French Fries & Small Drink,Classic Roast Beef – Meal,,7.28
MealsMeal Includes Small French Fries & Small Drink,Mid Roast Beef,,5.49
MealsMeal Includes Small French Fries & Small Drink,Mid Roast Beef – Meal,,8.56
MealsMeal Includes Small French Fries & Small Drink,Max Roast Beef,,6.77
MealsMeal Includes Small French Fries & Small Drink,Max Roast Beef – Meal,,9.84
MealsMeal Includes Small French Fries & Small Drink,Classic Beef ‘n Cheddar,,5.11
MealsMeal Includes Small French Fries & Small Drink,Classic Beef ‘n Cheddar – Meal,,8.18
MealsMeal Includes Small French Fries & Small Drink,Mid Beef ‘n Cheddar,,6.39
MealsMeal Includes Small French Fries & Small Drink,Mid Beef ‘n Cheddar – Meal,,9.46
MealsMeal Includes Small French Fries & Small Drink,French Dip & Swiss,,5.75
MealsMeal Includes Small French Fries & Small Drink,French Dip & Swiss – Meal,,8.69
MealsMeal Includes Small French Fries & Small Drink,Smokehouse Brisket,,7.16
MealsMeal Includes Small French Fries & Small Drink,Smokehouse Brisket – Meal,,9.84
MealsMeal Includes Small French Fries & Small Drink,Corned Beef Reuben,,6.39
MealsMeal Includes Small French Fries & Small Drink,Corned Beef Reuben – Meal,,9.59
MealsMeal Includes Small French Fries & Small Drink,Angus Three Cheese & Bacon,,7.16
MealsMeal Includes Small French Fries & Small Drink,Angus Three Cheese & Bacon – Meal,,9.84
MealsMeal Includes Small French Fries & Small Drink,Angus Philly,,7.16
MealsMeal Includes Small French Fries & Small Drink,Angus Philly – Meal,,9.84
MealsMeal Includes Small French Fries & Small Drink,Roast Turkey Ranch & Bacon Sandwich,,6.77
MealsMeal Includes Small French Fries & Small Drink,Roast Turkey Ranch & Bacon Sandwich – Meal,,9.72
MealsMeal Includes Small French Fries & Small Drink,Roast Turkey Ranch & Bacon Wrap,,6.77
MealsMeal Includes Small French Fries & Small Drink,Roast Turkey Ranch & Bacon Wrap – Meal,,9.72
MealsMeal Includes Small French Fries & Small Drink,Roast Turkey & Swiss Sandwich,,6.39
MealsMeal Includes Small French Fries & Small Drink,Roast Turkey & Swiss Sandwich – Meal,,9.59
MealsMeal Includes Small French Fries & Small Drink,Roast Turkey & Swiss Wrap,,6.39
MealsMeal Includes Small French Fries & Small Drink,Roast Turkey & Swiss Wrap – Meal,,9.59
MealsMeal Includes Small French Fries & Small Drink,Grand Turkey Club,,5.75
MealsMeal Includes Small French Fries & Small Drink,Grand Turkey Club – Meal,,8.69
MealsMeal Includes Small French Fries & Small Drink,Crispy Chicken,,5.11
MealsMeal Includes Small French Fries & Small Drink,Crispy Chicken – Meal,,8.31
MealsMeal Includes Small French Fries & Small Drink,Chicken Bacon & Swiss,,5.88
MealsMeal Includes Small French Fries & Small Drink,Chicken Bacon & Swiss – Meal,,8.95
MealsMeal Includes Small French Fries & Small Drink,Chicken Cordon Bleu,,5.88
MealsMeal Includes Small French Fries & Small Drink,Chicken Cordon Bleu – Meal,,8.95
MealsMeal Includes Small French Fries & Small Drink,Prime-Cut Chicken Tenders,3 Pc.,4.72
MealsMeal Includes Small French Fries & Small Drink,Prime-Cut Chicken Tenders,5 Pc.,6.64
MealsMeal Includes Small French Fries & Small Drink,Prime-Cut Chicken Tenders – Meal,3 Pc.,7.92
MealsMeal Includes Small French Fries & Small Drink,Prime-Cut Chicken Tenders – Meal,5 Pc.,9.84
MealsMeal Includes Small French Fries & Small Drink,Crispy Fish Flatbread (Limited Time),,3.83
MealsMeal Includes Small French Fries & Small Drink,Crispy Fish Flatbread – Meal (Limited Time),,6.39
MealsMeal Includes Small French Fries & Small Drink,Crispy Fish Sandwich (Limited Time),,3.83
MealsMeal Includes Small French Fries & Small Drink,Crispy Fish Sandwich – Meal (Limited Time),,6.39
