Type,Food,Size,Price
Main MenuCombo Meals Come with Small Fries and Small Drink.Upgrade to Medium for $0.69 or Large for $1.20,Whopper,,5.36
Main MenuCombo Meals Come with Small Fries and Small Drink.Upgrade to Medium for $0.69 or Large for $1.20,Whopper – Meal,,8.31
Main MenuCombo Meals Come with Small Fries and Small Drink.Upgrade to Medium for $0.69 or Large for $1.20,Double Whopper,,6.77
Main MenuCombo Meals Come with Small Fries and Small Drink.Upgrade to Medium for $0.69 or Large for $1.20,Double Whopper – Meal,,9.72
Main MenuCombo Meals Come with Small Fries and Small Drink.Upgrade to Medium for $0.69 or Large for $1.20,Whopper Jr.,,2.8
Main MenuCombo Meals Come with Small Fries and Small Drink.Upgrade to Medium for $0.69 or Large for $1.20,Whopper Jr. – Meal,,6.77
Main MenuCombo Meals Come with Small Fries and Small Drink.Upgrade to Medium for $0.69 or Large for $1.20,Impossible Whopper,,9.33
Main MenuCombo Meals Come with Small Fries and Small Drink.Upgrade to Medium for $0.69 or Large for $1.20,Crispy Chicken Sandwich,,6.39
Main MenuCombo Meals Come with Small Fries and Small Drink.Upgrade to Medium for $0.69 or Large for $1.20,Crispy Chicken Sandwich – Meal,,9.59
Main MenuCombo Meals Come with Small Fries and Small Drink.Upgrade to Medium for $0.69 or Large for $1.20,Spicy Crispy Chicken Sandwich – Meal,,11.76
Main MenuCombo Meals Come with Small Fries and Small Drink.Upgrade to Medium for $0.69 or Large for $1.20,Spicy Crispy Chicken Sandwich,,7.28
Main MenuCombo Meals Come with Small Fries and Small Drink.Upgrade to Medium for $0.69 or Large for $1.20,Big Fish Sandwich,,5.11
Main MenuCombo Meals Come with Small Fries and Small Drink.Upgrade to Medium for $0.69 or Large for $1.20,Big Fish Sandwich – Meal,,8.18
Main MenuCombo Meals Come with Small Fries and Small Drink.Upgrade to Medium for $0.69 or Large for $1.20,Chicken Nuggets – Meal,10 Pc.,7.67
Main MenuCombo Meals Come with Small Fries and Small Drink.Upgrade to Medium for $0.69 or Large for $1.20,Spicy Chicken Nuggets,10 Pc.,2.16
Main MenuCombo Meals Come with Small Fries and Small Drink.Upgrade to Medium for $0.69 or Large for $1.20,Chicken Fries,9 Pc.,8.69
Value Menu,Bacon Cheeseburger,,1.91
Value Menu,Bacon Double Cheeseburger,,2.93
Value Menu,Bacon Cheeseburger Deluxe,,2.16
Value Menu,Double Cheeseburger,,2.16
Value Menu,French Fries,Value,1.78
Value Menu,Onion Rings,Value,1.78
Value Menu,Fountain Drink,16 oz.,1.65
Value Menu,Icee,12 oz.,1.52
Value Menu,Hamburger,,1.28
Value Menu,Cheeseburger,,1.28
Value Menu,Crispy Chicken Jr.,,1.28
Value Menu,Spicy Crispy Chicken Jr.,,1.28
Value Menu,Rodeo Crispy Chicken,,1.28
Value Menu,Rodeo Burger,,1.28
Value Menu,Chicken Nuggets,4 Pc.,1.52
Value Menu,Cookies,2 Pc.,1.28
Value Menu,Soft Serve (Cup or Cone),,1.28
Value Menu,Apple Pie,,1.91
Value Menu,Hershey’s Sundae Pie,,2.16
Sides,Jalepeno Chedddar Bites,8 Pc.,2.93
Sides,Jalepeno Cheddar Bites,4 Pc.,1.4
Sides,Onion Rings,Small,2.29
Sides,Onion Rings,Medium,2.8
Sides,Onion Rings,Large,3.06
Sides,French Fries,Small,2.29
