Type,Food,Size,Price
Extras,Chicken Finger,,1.13
Extras,Cane’s Sauce,,0.3
Extras,Crinkle-Cut Fries,,1.55
Extras,Texas Toast,,0.72
Extras,Coleslaw,,0.72
Drinks,Fountain Drink,Kids (12 oz.),1.03
Drinks,Fountain Drink,Regular (22 oz.),1.65
Drinks,Fountain Drink,Large (32 oz.),1.86
Drinks,Sweet / Unsweet Tea,Kids (12 oz.),1.03
Drinks,Sweet / Unsweet Tea,Regular (22 oz.),1.65
Drinks,Sweet / Unsweet Tea,Large (32 oz.),1.86
Drinks,Sweet / Unsweet Tea,1 Gallon,5.19
Drinks,Lemonade,Kids (12 oz.),1.03
Drinks,Lemonade,Regular (22 oz.),1.91
Drinks,Lemonade,Large (32 oz.),2.17
Drinks,Lemonade,1 Gallon,9.35
TailgatesIncluded Cane’s Sauce,Chicken Fingers,25 Pc.,28.59
TailgatesIncluded Cane’s Sauce,Chicken Fingers,50 Pc.,50.95
TailgatesIncluded Cane’s Sauce,Chicken Fingers,75 Pc.,72.79
TailgatesIncluded Cane’s Sauce,Chicken Fingers,100 Pc.,93.59
TailgatesIncluded Cane’s Sauce,Each Additional Chicken Fingers,100 Pc.,88.39
Cane’s Gear,Logo Hats/Visors,,10.39
Cane’s Gear,Short Sleeve T-Shirts,,10.39
Cane’s Gear,Long Sleeve T-Shirts,,12.47
