Type,Food,Size,Price
Meals,Chick-fil-A Chicken Sandwich,,3.9
Meals,Chick-fil-A Chicken Sandwich – Combo,,7.62
Meals,Chick-fil-A Chicken Deluxe Sandwich,,4.67
Meals,Chick-fil-A Chicken Deluxe Sandwich – Combo,,8.38
Meals,Spicy Chicken Sandwich,,4.21
Meals,Spicy Chicken Sandwich – Combo,,7.92
Meals,Spicy Chicken Deluxe Sandwich,,4.98
Meals,Spicy Chicken Deluxe Sandwich – Combo,,8.69
Meals,Chick-fil-A Nuggets,8 Pc.,3.9
Meals,Chick-fil-A Nuggets,12 Pc.,5.7
Meals,Chick-fil-A Nuggets – Combo,8 Pc.,7.62
Meals,Chick-fil-A Nuggets – Combo,12 Pc.,11.0
Meals,Chick-fil-A Nuggets (Grilled),8 Pc.,4.93
Meals,Chick-fil-A Nuggets (Grilled),12 Pc.,7.36
Meals,Chick-fil-A Nuggets (Grilled) – Combo,8 Pc.,8.64
Meals,Chick-fil-A Nuggets (Grilled) – Combo,12 Pc.,11.0
Meals,Chick-n-Strips,3 Pc.,4.29
Meals,Chick-n-Strips,4 Pc.,5.62
Meals,Chick-n-Strips – Combo,3 Pc.,8.0
Meals,Chick-n-Strips – Combo,4 Pc.,9.28
Meals,Grilled Chicken Sandwich,,5.62
Meals,Grilled Chicken Sandwich – Combo,,9.2
Meals,Grilled Chicken Club Sandwich,,7.16
Meals,Grilled Chicken Club Sandwich – Combo,,10.74
Meals,Chicken Salad Sandwich,,5.11
Meals,Chicken Salad Sandwich – Combo,,8.69
Meals,Grilled Chicken Cool Wrap,,6.64
Meals,Grilled Chicken Cool Wrap – Combo,,10.43
Meals,Soup & Salad (Large Chicken Soup and Side Salad),,10.69
Meals,Chilled Grilled Chicken Sub Sandwich (Limited Time),,6.13
Meals,Substitute Medium Premium Side,,1.28
Meals,Upsize Fries & Drink,,0.59
Classic Sides,Waffle Potato Fries,Small,1.98
Classic Sides,Waffle Potato Fries,Medium,2.11
Classic Sides,Waffle Potato Fries,Large,2.37
Classic Sides,Baked Potato with Butter,,2.11
Premium Sides,Yogurt Parfait,,3.14
Premium Sides,Fruit Cup,Small,2.62
Premium Sides,Fruit Cup,Medium,3.52
Premium Sides,Fruit Cup,Large,5.44
Premium Sides,Side Salad,,3.7
Premium Sides,Chicken Soup,Medium,3.39
Premium Sides,Chicken Soup,Large,5.57
Premium Sides,Chicken Tortilla Soup (Limited Time),Medium,4.8
Premium Sides,Chicken Tortilla Soup (Limited Time),Large,7.74
Premium Sides,Superfood Salad (Limited Time),Medium,3.7
Premium Sides,Superfood Salad (Limited Time),Large,4.98
Premium Sides,Chicken Salad Cup,Medium,4.08
Premium Sides,Chicken Salad Cup,Large,6.59
Premium Sides,Loaded Baked Potato (Limited Time),,3.39
Kid’s Meals,Nuggets,4 Pc.,4.29
Kid’s Meals,Nuggets,6 Pc.,5.18
Kid’s Meals,Grilled Nuggets,4 Pc.,4.8
Kid’s Meals,Grilled Nuggets,6 Pc.,5.95
Kid’s Meals,Chick-n-Strips,1 Pc.,3.9
Kid’s Meals,Chick-n-Strips,2 Pc.,5.24
Salads,Asian Salad,,9.2
Salads,Cobb Salad,,9.2
Salads,Grilled Market Salad,,9.2
Salads,Grilled Market Salad w/ No Chicken,,7.92
Salads,Grilled Market Salad w/ Chick-fil-A Filet,,10.48
Salads,Grilled Market Salad w/ Chick-n-Strips,,10.48
Salads,Grilled Market Salad w/ Grilled Filet (Cold),,10.48
Salads,Grilled Market Salad w/ Grilled Filet (Warm),,10.48
Salads,Grilled Market Salad w/ Grilled Nuggets,,10.48
Salads,Grilled Market Salad w/ Nuggets,,10.48
Salads,Grilled Market Salad w/ Spicy Filet,,10.48
Salads,Grilled Market Salad w/ Spicy Grilled Filet (Cold),,10.48
Desserts,"Hand-Spun Milkshakes (Cookies & Cream, Chocolate, Strawberry, or Vanilla)",Small,3.52
Desserts,"Hand-Spun Milkshakes (Cookies & Cream, Chocolate, Strawberry, or Vanilla)",Large,4.03
Desserts,Frosted Lemonade (Limited Time),,3.52
