Type,Food,Size,Price
MealsMeal Includes Small French Fries & Small Drink,Classic Roast Beef,,3.42
MealsMeal Includes Small French Fries & Small Drink,Classic Roast Beef – Meal,,5.92
MealsMeal Includes Small French Fries & Small Drink,Mid Roast Beef,,4.46
MealsMeal Includes Small French Fries & Small Drink,Mid Roast Beef – Meal,,6.96
MealsMeal Includes Small French Fries & Small Drink,Max Roast Beef,,5.5
MealsMeal Includes Small French Fries & Small Drink,Max Roast Beef – Meal,,8.0
MealsMeal Includes Small French Fries & Small Drink,Classic Beef ‘n Cheddar,,4.15
MealsMeal Includes Small French Fries & Small Drink,Classic Beef ‘n Cheddar – Meal,,6.65
MealsMeal Includes Small French Fries & Small Drink,Mid Beef ‘n Cheddar,,5.19
MealsMeal Includes Small French Fries & Small Drink,Mid Beef ‘n Cheddar – Meal,,7.69
MealsMeal Includes Small French Fries & Small Drink,French Dip & Swiss,,4.67
MealsMeal Includes Small French Fries & Small Drink,French Dip & Swiss – Meal,,7.06
MealsMeal Includes Small French Fries & Small Drink,Smokehouse Brisket,,5.81
MealsMeal Includes Small French Fries & Small Drink,Smokehouse Brisket – Meal,,8.0
MealsMeal Includes Small French Fries & Small Drink,Corned Beef Reuben,,5.19
MealsMeal Includes Small French Fries & Small Drink,Corned Beef Reuben – Meal,,7.79
MealsMeal Includes Small French Fries & Small Drink,Angus Three Cheese & Bacon,,5.81
MealsMeal Includes Small French Fries & Small Drink,Angus Three Cheese & Bacon – Meal,,8.0
MealsMeal Includes Small French Fries & Small Drink,Angus Philly,,5.81
MealsMeal Includes Small French Fries & Small Drink,Angus Philly – Meal,,8.0
MealsMeal Includes Small French Fries & Small Drink,Roast Turkey Ranch & Bacon Sandwich,,5.5
MealsMeal Includes Small French Fries & Small Drink,Roast Turkey Ranch & Bacon Sandwich – Meal,,7.89
MealsMeal Includes Small French Fries & Small Drink,Roast Turkey Ranch & Bacon Wrap,,5.5
MealsMeal Includes Small French Fries & Small Drink,Roast Turkey Ranch & Bacon Wrap – Meal,,7.89
MealsMeal Includes Small French Fries & Small Drink,Roast Turkey & Swiss Sandwich,,5.19
