Type,Food,Size,Price
Boneless Chicken,"4 Pc. Supremes Combo with Biscuit, Choice of Fixin’, and Drink",,6.29
Boneless Chicken,12 Pc. Supremes Box with 4 Biscuits,,15.39
Boneless Chicken,12 Pc. Supremes Tailgate Special with 4 Biscuits,,20.39
Boneless Chicken,"4 Pc. Homestyle Tenders Combo with Biscuit, Choice of Fixin’, and Drink",,6.29
Boneless Chicken,12 Pc. Homestyle Tenders Box with 4 Biscuits,,15.39
Boneless Chicken,12 Pc. Homestyle Tenders Tailgate Special with 4 Biscuits,,20.39
Boneless Chicken,"Roasted Chicken Bites Combo with Biscuit, Choice of Fixin’, and Drink",,5.99
Boneless Chicken,Chicken Rice Bowl,,5.39
SandwichesCombo Includes Choice of Fixin’ and Drink,Cajun Filet – Combo,,6.19
SandwichesCombo Includes Choice of Fixin’ and Drink,Cajun Filet,,4.19
SandwichesCombo Includes Choice of Fixin’ and Drink,Cajun Filet Club – Combo,,6.69
SandwichesCombo Includes Choice of Fixin’ and Drink,Cajun Filet Club,,4.69
SandwichesCombo Includes Choice of Fixin’ and Drink,Grilled Chicken – Combo,,6.19
SandwichesCombo Includes Choice of Fixin’ and Drink,Grilled Chicken,,4.19
SandwichesCombo Includes Choice of Fixin’ and Drink,Grilled Chicken Club – Combo,,6.69
SandwichesCombo Includes Choice of Fixin’ and Drink,Grilled Chicken Club,,4.69
SandwichesCombo Includes Choice of Fixin’ and Drink,Pulled Pork BBQ Sandwich – Combo,,4.99
SandwichesCombo Includes Choice of Fixin’ and Drink,Pulled Pork BBQ Sandwich,,2.99
BiscuitsCombo Includes Botato Rounds and Regular Coffee or Drink,Cajun Filet Biscuit – Combo,,5.39
BiscuitsCombo Includes Botato Rounds and Regular Coffee or Drink,Cajun Filet Biscuit,,3.29
BiscuitsCombo Includes Botato Rounds and Regular Coffee or Drink,Country Ham & Egg – Combo,,4.79
BiscuitsCombo Includes Botato Rounds and Regular Coffee or Drink,Country Ham & Egg,,2.99
BiscuitsCombo Includes Botato Rounds and Regular Coffee or Drink,Country Ham – Combo,,4.29
BiscuitsCombo Includes Botato Rounds and Regular Coffee or Drink,Country Ham,,2.39
BiscuitsCombo Includes Botato Rounds and Regular Coffee or Drink,Steak Biscuit – Combo,,4.19
BiscuitsCombo Includes Botato Rounds and Regular Coffee or Drink,Steak Biscuit,,2.39
BiscuitsCombo Includes Botato Rounds and Regular Coffee or Drink,"Bacon, Egg & Cheese – Combo",,4.49
BiscuitsCombo Includes Botato Rounds and Regular Coffee or Drink,"Bacon, Egg & Cheese",,2.79
BiscuitsCombo Includes Botato Rounds and Regular Coffee or Drink,2 Sausage Biscuits – Combo,,4.29
BiscuitsCombo Includes Botato Rounds and Regular Coffee or Drink,2 Sausage Biscuits,,2.49
BiscuitsCombo Includes Botato Rounds and Regular Coffee or Drink,Sausage & Egg Biscuit – Combo,,4.19
BiscuitsCombo Includes Botato Rounds and Regular Coffee or Drink,Sausage & Egg Biscuit,,2.19
BiscuitsCombo Includes Botato Rounds and Regular Coffee or Drink,Sausage Biscuit – Combo,,3.49
BiscuitsCombo Includes Botato Rounds and Regular Coffee or Drink,Sausage Biscuit,,1.59
BiscuitsCombo Includes Botato Rounds and Regular Coffee or Drink,Gravy Biscuit – Combo,,3.79
BiscuitsCombo Includes Botato Rounds and Regular Coffee or Drink,Gravy Biscuit,,1.89
BiscuitsCombo Includes Botato Rounds and Regular Coffee or Drink,Egg & Cheese Biscuit – Combo,,3.69
BiscuitsCombo Includes Botato Rounds and Regular Coffee or Drink,Egg & Cheese Biscuit,,1.89
Breakfast Fixin’s,Bo-Tato Rounds®,Small,1.49
Breakfast Fixin’s,Bo-Tato Rounds®,Medium,1.69
Breakfast Fixin’s,Bo-Tato Rounds®,Picnic,2.79
Breakfast Fixin’s,Picnic Grits,,1.49
DinnersServed with Biscuit,2 Pc. Leg & Thigh (with 1 Fixin’),,5.19
DinnersServed with Biscuit,2 Pc. Leg & Thigh (with 2 Fixin’s),,5.89
DinnersServed with Biscuit,2 Pc. Breast & Wing (with 1 Fixin’),,6.19
DinnersServed with Biscuit,2 Pc. Breast & Wing (with 2 Fixin’s),,6.89
DinnersServed with Biscuit,3 Pc. Leg & 2 Thighs (with 1 Fixin’),,5.79
DinnersServed with Biscuit,3 Pc. Leg & 2 Thighs (with 2 Fixin’s),,6.49
DinnersServed with Biscuit,1 Breast Dinner (with 1 Fixin’),,4.89
DinnersServed with Biscuit,1 Breast Dinner (with 2 Fixin’s),,5.59
DinnersServed with Biscuit,2 Breast Dinner (with 1 Fixin’),,6.79
DinnersServed with Biscuit,2 Breast Dinner (with 2 Fixin’s),,7.49
DinnersServed with Biscuit,3 Wing Dinner (with 1 Fixin’),,5.79
DinnersServed with Biscuit,3 Wing Dinner (with 2 Fixin’s),,6.49
Fixin’s & Fries,Dirty Rice,Individual,1.49
Fixin’s & Fries,Dirty Rice,Picnic,2.99
Fixin’s & Fries,Cajun Pintos,Individual,1.49
Fixin’s & Fries,Cajun Pintos,Picnic,2.99
Fixin’s & Fries,Cole Slaw,Individual,1.49
Fixin’s & Fries,Cole Slaw,Picnic,2.99
Fixin’s & Fries,Mashed Potatoes ‘n Gravy,Individual,1.49
Fixin’s & Fries,Mashed Potatoes ‘n Gravy,Picnic,2.99
Fixin’s & Fries,Green Beans,Individual,1.49
Fixin’s & Fries,Green Beans,Picnic,2.99
Fixin’s & Fries,Macaroni ‘n Cheese,Individual,1.49
Fixin’s & Fries,Macaroni ‘n Cheese,Picnic,2.99
Fixin’s & Fries,Seasoned Fries,Small,1.49
Fixin’s & Fries,Seasoned Fries,Medium,1.99
Fixin’s & Fries,Seasoned Fries,Large,2.99
Salads & Wraps,Garden,,3.39
Salads & Wraps,Chicken Supremes™,,4.99
Salads & Wraps,Homestyle Tenders™,,4.99
Salads & Wraps,Grilled Chicken,,5.19
Salads & Wraps,Cajun Filet Wrap,,4.19
Salads & Wraps,Cajun Filet Wrap – Combo,,6.19
