Type,Food,Size,Price
Meals,Chick-fil-A Chicken Sandwich,,3.17
Meals,Chick-fil-A Chicken Sandwich – Combo,,6.19
Meals,Chick-fil-A Chicken Deluxe Sandwich,,3.8
Meals,Chick-fil-A Chicken Deluxe Sandwich – Combo,,6.81
Meals,Spicy Chicken Sandwich,,3.42
Meals,Spicy Chicken Sandwich – Combo,,6.44
Meals,Spicy Chicken Deluxe Sandwich,,4.05
Meals,Spicy Chicken Deluxe Sandwich – Combo,,7.06
Meals,Chick-fil-A Nuggets,8 Pc.,3.17
Meals,Chick-fil-A Nuggets,12 Pc.,4.63
Meals,Chick-fil-A Nuggets – Combo,8 Pc.,6.19
Meals,Chick-fil-A Nuggets – Combo,12 Pc.,8.93
Meals,Chick-fil-A Nuggets (Grilled),8 Pc.,4.0
Meals,Chick-fil-A Nuggets (Grilled),12 Pc.,5.98
Meals,Chick-fil-A Nuggets (Grilled) – Combo,8 Pc.,7.02
Meals,Chick-fil-A Nuggets (Grilled) – Combo,12 Pc.,8.93
Meals,Chick-n-Strips,3 Pc.,3.48
Meals,Chick-n-Strips,4 Pc.,4.57
Meals,Chick-n-Strips – Combo,3 Pc.,6.5
Meals,Chick-n-Strips – Combo,4 Pc.,7.54
Meals,Grilled Chicken Sandwich,,4.57
Meals,Grilled Chicken Sandwich – Combo,,7.48
Meals,Grilled Chicken Club Sandwich,,5.81
Meals,Grilled Chicken Club Sandwich – Combo,,8.73
Meals,Chicken Salad Sandwich,,4.15
Meals,Chicken Salad Sandwich – Combo,,7.06
Meals,Grilled Chicken Cool Wrap,,5.4
Meals,Grilled Chicken Cool Wrap – Combo,,8.48
Meals,Soup & Salad (Large Chicken Soup and Side Salad),,8.68
Meals,Chilled Grilled Chicken Sub Sandwich (Limited Time),,4.98
Meals,Substitute Medium Premium Side,,1.04
Meals,Upsize Fries & Drink,,0.48
Classic Sides,Waffle Potato Fries,Small,1.61
Classic Sides,Waffle Potato Fries,Medium,1.72
Classic Sides,Waffle Potato Fries,Large,1.92
Classic Sides,Baked Potato with Butter,,1.72
Premium Sides,Yogurt Parfait,,2.55
Premium Sides,Fruit Cup,Small,2.13
Premium Sides,Fruit Cup,Medium,2.86
Premium Sides,Fruit Cup,Large,4.42
Premium Sides,Side Salad,,3.01
Premium Sides,Chicken Soup,Medium,2.76
Premium Sides,Chicken Soup,Large,4.52
Premium Sides,Chicken Tortilla Soup (Limited Time),Medium,3.9
Premium Sides,Chicken Tortilla Soup (Limited Time),Large,6.29
Premium Sides,Superfood Salad (Limited Time),Medium,3.01
Premium Sides,Superfood Salad (Limited Time),Large,4.05
