Type,Food,Size,Price
Tacos & More,Beer Battered Fish Taco,,2.29
Tacos & More,Street Taco (Chicken),,1.99
Tacos & More,Street Taco (Carne Asada Steak),,2.29
Tacos & More,Turkey Taco (Crunchy or Soft),,1.39
Tacos & More,Flatbread Taco (Chicken),,2.89
Tacos & More,Flatbread Taco (Steak),,3.19
Tacos & More,Chicken Cheddar or Chicken Spicy Jack Quesadilla,,3.29
Tacos & More,Cheddar or Spicy Jack Quesadilla,,2.29
Tacos & More,Nachos,,1.29
Tacos & More,Macho Nachos (Beef),,4.29
Tacos & More,Macho Nachos (Chicken,,4.69
Tacos & More,Macho Nachos (Steak),,4.99
Specials,Carne Asada Street Taco,,2.29
Specials,Carne Asada Street Taco – Meal,,6.99
Specials,Carne Asada Combo Burrito,,4.49
Specials,Carne Asada Combo Burrito – Meal,,7.29
Burritos,Spicy Grilled Chicken Burrito,,3.19
Burritos,8 Layer Veggie Burrito,,3.09
Burritos,Classic Grilled Chicken Burrito,,3.29
Burritos,Del Combo Burrito,,3.19
Burritos,Del Beef Burrito,,3.29
2 for $5Get 2 of the Same Classic Burritos for 1 Low Price,Burritos,2 Pc.,5.0
Epic BurritosMeal Includes Medium Drink,Epic Cali Steak & Guacamole Burrito,,5.09
Epic BurritosMeal Includes Medium Drink,Epic Cali Steak & Guacamole Burrito – Meal,,6.69
Epic BurritosMeal Includes Medium Drink,Epic Grilled Chicken Avocado Burrito,,5.29
Epic BurritosMeal Includes Medium Drink,Epic Grilled Chicken Avocado Burrito – Meal,,6.99
Epic BurritosMeal Includes Medium Drink,Epic Chicken Chipotle Ranch Burrito,,5.29
Epic BurritosMeal Includes Medium Drink,Epic Chicken Chipotle Ranch Burrito – Meal,,6.69
Epic BurritosMeal Includes Medium Drink,Epic Steak & Potato Burrito,,5.29
Epic BurritosMeal Includes Medium Drink,Epic Steak & Potato Burrito – Meal,,6.69
Epic BurritosMeal Includes Medium Drink,Epic Carne Asada Burrito (Limited Time),,6.29
Epic BurritosMeal Includes Medium Drink,Epic Carne Asada Burrito – Meal (Limited Time),,7.99
Handcrafted Ensaladas,Chicken Bacon Avocado Salad,,5.49
Handcrafted Ensaladas,Chicken Bacon Avocado Salad & Small Drink,,6.99
Handcrafted Ensaladas,Mexican Chopped Chicken Salad,,5.49
Handcrafted Ensaladas,Mexican Chopped Chicken Salad & Small Drink,,6.99
Handcrafted Ensaladas,Signature Taco Salad,,5.49
Handcrafted Ensaladas,Signature Taco Salad & Small Drink,,6.99
Buck & Under Menu,Mini Cheddar Quesadilla,,0.59
Buck & Under Menu,Regular Taco,,0.69
Buck & Under Menu,Mini Bacon Quesadilla,,0.79
Buck & Under Menu,"Jacked Up Value Bean, Rice & Cheese Burrito",,0.89
Buck & Under Menu,Freshly Made Bean & Cheese Cup,,0.89
Buck & Under Menu,Chili Cheese Nachos,,1.0
Buck & Under Menu,Crunchtada Tostada,,1.0
Buck & Under Menu,Chicken Roller,,1.0
