Type,Food,Size,Price
Cheese Pizzas,Hand Tossed,Small (10″),6.23
Cheese Pizzas,Hand Tossed,Medium (12″),8.31
Cheese Pizzas,Hand Tossed,Large (14″),10.39
Cheese Pizzas,Handmade Pan,Medium (12″),8.31
Cheese Pizzas,Crunchy Thin Crust,Small (10″),6.23
Cheese Pizzas,Crunchy Thin Crust,Medium (12″),8.31
Cheese Pizzas,Crunchy Thin Crust,Large (14″),10.39
Cheese Pizzas,Brooklyn Style,Large (14″),10.39
Cheese Pizzas,Brooklyn Style,X-Large (16″),12.47
Cheese Pizzas,Gluten Free Crust,Small (10″),9.35
Specialty Pizzas,Spinach & Feta (Hand Tossed or Thin Crust),Small (10″),12.47
Specialty Pizzas,"Spinach & Feta (Hand Tossed, Handmade Pan or Thin Crust)",Medium (12″),14.55
Specialty Pizzas,"Spinach & Feta (Hand Tossed, Thin Crust or Brooklyn Style)",Large (14″),16.63
Specialty Pizzas,Spinach & Feta (Brooklyn Style),X-Large (16″),18.71
Specialty Pizzas,Spinach & Feta (Gluten Free Crust),Small (10″),15.59
Specialty Pizzas,Wisconsin 6 Cheese (Hand Tossed or Thin Crust),Small (10″),12.47
Specialty Pizzas,"Wisconsin 6 Cheese (Hand Tossed, Handmade Pan or Thin Crust)",Medium (12″),14.55
Specialty Pizzas,"Wisconsin 6 Cheese (Hand Tossed, Thin Crust or Brooklyn Style)",Large (14″),16.63
Specialty Pizzas,Wisconsin 6 Cheese (Brooklyn Style),X-Large (16″),18.71
Specialty Pizzas,Wisconsin 6 Cheese (Gluten Free Crust),Small (10″),15.59
Specialty Pizzas,Honolulu Hawaiian (Hand Tossed or Thin Crust),Small (10″),12.47
Specialty Pizzas,"Honolulu Hawaiian (Hand Tossed, Handmade Pan or Thin Crust)",Medium (12″),14.55
Specialty Pizzas,"Honolulu Hawaiian (Hand Tossed, Thin Crust or Brooklyn Style)",Large (14″),16.63
Specialty Pizzas,Honolulu Hawaiian (Brooklyn Style),X-Large (16″),18.71
Specialty Pizzas,Honolulu Hawaiian (Gluten Free Crust),Small (10″),15.59
Specialty Pizzas,Philly Cheese Steak (Hand Tossed or Thin Crust),Small (10″),12.47
Specialty Pizzas,"Philly Cheese Steak (Hand Tossed, Handmade Pan or Thin Crust)",Medium (12″),14.55
Specialty Pizzas,"Philly Cheese Steak (Hand Tossed, Thin Crust or Brooklyn Style)",Large (14″),16.63
Specialty Pizzas,Philly Cheese Steak (Brooklyn Style),X-Large (16″),18.71
Specialty Pizzas,Philly Cheese Steak (Gluten Free Crust),Small (10″),15.59
Specialty Pizzas,Pacific Veggie (Hand Tossed or Thin Crust),Small (10″),12.47
Specialty Pizzas,"Pacific Veggie (Hand Tossed, Handmade Pan or Thin Crust)",Medium (12″),14.55
Specialty Pizzas,"Pacific Veggie (Hand Tossed, Thin Crust or Brooklyn Style)",Large (14″),16.63
Specialty Pizzas,Pacific Veggie (Brooklyn Style),X-Large (16″),18.71
Specialty Pizzas,Pacific Veggie (Gluten Free Crust),Small (10″),15.59
Specialty Pizzas,Cali Chicken Bacon Ranch™ (Hand Tossed or Thin Crust),Small (10″),12.47
Specialty Pizzas,"Cali Chicken Bacon Ranch™ (Hand Tossed, Handmade Pan or Thin Crust)",Medium (12″),14.55
Specialty Pizzas,"Cali Chicken Bacon Ranch™ (Hand Tossed, Thin Crust or Brooklyn Style)",Large (14″),16.63
Specialty Pizzas,Cali Chicken Bacon Ranch™ (Brooklyn Style),X-Large (16″),18.71
Specialty Pizzas,Cali Chicken Bacon Ranch™ (Gluten Free Crust),Small (10″),15.59
Specialty Pizzas,Fiery Hawaiian™ (Hand Tossed or Thin Crust),Small (10″),12.47
Specialty Pizzas,"Fiery Hawaiian™ (Hand Tossed, Handmade Pan or Thin Crust)",Medium (12″),14.55
Specialty Pizzas,"Fiery Hawaiian™ (Hand Tossed, Thin Crust or Brooklyn Style)",Large (14″),16.63
Specialty Pizzas,Fiery Hawaiian™ (Brooklyn Style),X-Large (16″),18.71
Specialty Pizzas,Fiery Hawaiian™ (Gluten Free Crust),Small (10″),15.59
Specialty Pizzas,Buffalo Chicken (Hand Tossed or Thin Crust),Small (10″),12.47
Specialty Pizzas,"Buffalo Chicken (Hand Tossed, Handmade Pan or Thin Crust)",Medium (12″),14.55
Specialty Pizzas,Buffalo Chicken (Brooklyn Style),X-Large (16″),18.71
Specialty Pizzas,Buffalo Chicken (Gluten Free Crust),Small (10″),15.59
Specialty Pizzas,Memphis BBQ Chicken (Hand Tossed or Thin Crust),Small (10″),12.47
Specialty Pizzas,"Memphis BBQ Chicken (Hand Tossed, Hnadmade Pan or Thin Crust)",Medium (12″),14.55
Specialty Pizzas,"Memphis BBQ Chicken (Hand Tossed, Thin Crust or Brooklyn Style)",Large (14″),16.63
Specialty Pizzas,Memphis BBQ Chicken (Brooklyn Style),X-Large (16″),18.71
Specialty Pizzas,Memphis BBQ Chicken (Gluten Free Crust),Small (10″),15.59
Feast Pizzas,America’s Favorite Feast® (Hand Tossed or Thin Crust),Small (10″),12.47
Feast Pizzas,America’s Favorite Feast® (Hand Tossed or Thin Crust),Medium (12″),14.55
Feast Pizzas,America’s Favorite Feast® (Handmade Pan),Medium (12″),16.11
Feast Pizzas,"America’s Favorite Feast® (Hand Tossed, Thin Crust or Brooklyn Style)",Large (14″),16.63
Feast Pizzas,America’s Favorite Feast® (Brooklyn Style),X-Large (16″),18.71
Feast Pizzas,America’s Favorite Feast® (Gluten Free Crust),Small (10″),15.59
