Type,Food,Size,Price
Hot-N-Ready Pizzas,Pepperoni Pizza,Large,6.24
Hot-N-Ready Pizzas,Cheese Pizza,Large,6.24
Hot-N-Ready Pizzas,Sausage Pizza,Large,6.24
Hot-N-Ready Pizzas,DEEP!DEEP!™ Dish,Large,8.32
Hot-N-Ready Pizzas,Bacon Wrapped Crust DEEP!DEEP!™ Dish,Large,12.48
Hot-N-Ready Pizzas,Pizza,Slice,1.65
Specialty Pizzas,3 Meat Treat,Large,8.32
Specialty Pizzas,Hula Hawaiian,Large,8.32
Specialty Pizzas,Veggie,Large,9.35
Specialty Pizzas,Ultimate Supreme,Large,10.39
Signature Favorites,Crazy Combo – Bread & Sauce,8 Pc.,4.15
Signature Favorites,Italian Cheese Bread,10 Pc.,4.77
Signature Favorites,Zesty Cheese Bread,10 Pc.,5.09
Signature Favorites,Pepperoni Cheese Bread,10 Pc.,5.09
Signature Favorites,Caesar Wings,,6.24
Signature Favorites,Caesar Dip®,1 Pc.,0.61
Signature Favorites,Caesar Dips®,2 Pc.,1.04
Sides,Crazy Bread,,2.38
Sides,Stuffed Crazy Bread,4 Pc.,3.12
Sides,Stuffed Crazy Bread,8 Pc.,5.2
Sides,Cinnamon Bread,,3.11
Snacks,Jumbo Soft Pretzel,,2.07
Snacks,Nachos with Cheese,,2.8
Snacks,Mrs. Goodcookie,,0.93
Custom Pizza,1 Topping Pizza,Large,6.76
Custom Pizza,Stuffed Crust,Large,9.87
Custom Pizza,Extra Topping,,1.82
