Type,Food,Size,Price
PizzasOriginal and Thin Crust Choices,Cheese (Original),Medium,13.52
PizzasOriginal and Thin Crust Choices,Cheese (Original),Large,15.6
PizzasOriginal and Thin Crust Choices,Cheese (Original),Extra Large,17.68
PizzasOriginal and Thin Crust Choices,Cheese (Thin),Large,15.6
PizzasOriginal and Thin Crust Choices,John’s Favorite (Original),Medium,16.64
PizzasOriginal and Thin Crust Choices,John’s Favorite (Original),Large,18.72
PizzasOriginal and Thin Crust Choices,John’s Favorite (Original),Extra Large,20.8
PizzasOriginal and Thin Crust Choices,John’s Favorite (Thin),Large,18.72
PizzasOriginal and Thin Crust Choices,Pepperoni (Original),Medium,13.52
PizzasOriginal and Thin Crust Choices,Pepperoni (Original),Large,15.6
PizzasOriginal and Thin Crust Choices,Pepperoni (Original),Extra Large,17.68
PizzasOriginal and Thin Crust Choices,Pepperoni (Thin),Large,15.6
PizzasOriginal and Thin Crust Choices,Sausage (Original),Medium,13.52
PizzasOriginal and Thin Crust Choices,Sausage (Original),Large,15.6
PizzasOriginal and Thin Crust Choices,Sausage (Original),Extra Large,17.68
PizzasOriginal and Thin Crust Choices,Sausage (Thin),Large,15.6
PizzasOriginal and Thin Crust Choices,The Works (Original),Medium,16.64
PizzasOriginal and Thin Crust Choices,The Works (Original),Large,18.72
PizzasOriginal and Thin Crust Choices,The Works (Original),Extra Large,20.8
PizzasOriginal and Thin Crust Choices,The Works (Thin),Large,18.72
PizzasOriginal and Thin Crust Choices,The Meats (Original),Medium,16.64
PizzasOriginal and Thin Crust Choices,The Meats (Original),Large,18.72
PizzasOriginal and Thin Crust Choices,The Meats (Original),Extra Large,20.8
PizzasOriginal and Thin Crust Choices,The Meats (Thin),Large,18.72
PizzasOriginal and Thin Crust Choices,Bacon Cheeseburger (Original),Medium,16.64
PizzasOriginal and Thin Crust Choices,Bacon Cheeseburger (Original),Large,18.72
PizzasOriginal and Thin Crust Choices,Bacon Cheeseburger (Original),Extra Large,20.8
PizzasOriginal and Thin Crust Choices,Bacon Cheeseburger (Thin),Large,18.72
PizzasOriginal and Thin Crust Choices,Mushroom Swiss Burger (original),Medium,16.64
PizzasOriginal and Thin Crust Choices,Mushroom Swiss Burger (original),Large,18.72
PizzasOriginal and Thin Crust Choices,Mushroom Swiss Burger (original),Extra Large,20.8
PizzasOriginal and Thin Crust Choices,Mushroom Swiss Burger (Thin),Large,18.72
PizzasOriginal and Thin Crust Choices,Chicken Parmesan (original),Medium,16.64
PizzasOriginal and Thin Crust Choices,Chicken Parmesan (original),Large,18.72
PizzasOriginal and Thin Crust Choices,Chicken Parmesan (original),Extra Large,20.8
PizzasOriginal and Thin Crust Choices,Chicken Parmesan (Thin),Large,18.72
PizzasOriginal and Thin Crust Choices,The Big Bonanza (original),Medium,16.64
PizzasOriginal and Thin Crust Choices,The Big Bonanza (original),Large,18.72
PizzasOriginal and Thin Crust Choices,The Big Bonanza (original),Extra Large,20.8
PizzasOriginal and Thin Crust Choices,The Big Bonanza (Thin),Large,18.72
PizzasOriginal and Thin Crust Choices,Garden Fresh (Original),Medium,16.64
PizzasOriginal and Thin Crust Choices,Garden Fresh (Original),Large,18.72
PizzasOriginal and Thin Crust Choices,Garden Fresh (Original),Extra Large,20.8
PizzasOriginal and Thin Crust Choices,Garden Fresh (Thin),Large,18.72
PizzasOriginal and Thin Crust Choices,Spicy Italian (Original),Medium,16.64
PizzasOriginal and Thin Crust Choices,Spicy Italian (Original),Large,18.72
PizzasOriginal and Thin Crust Choices,Spicy Italian (Original),Extra Large,20.8
PizzasOriginal and Thin Crust Choices,Spicy Italian (Thin),Large,18.72
PizzasOriginal and Thin Crust Choices,Spinach Alfredo (Original),Medium,16.64
PizzasOriginal and Thin Crust Choices,Spinach Alfredo (Original),Large,18.72
PizzasOriginal and Thin Crust Choices,Spinach Alfredo (Original),Extra Large,20.8
PizzasOriginal and Thin Crust Choices,Spinach Alfredo (Thin),Large,18.72
PizzasOriginal and Thin Crust Choices,BBQ Chicken Bacon (Original),Medium,16.64
PizzasOriginal and Thin Crust Choices,BBQ Chicken Bacon (Original),Large,18.72
PizzasOriginal and Thin Crust Choices,BBQ Chicken Bacon (Original),Extra Large,20.8
PizzasOriginal and Thin Crust Choices,BBQ Chicken Bacon (Thin),Large,18.72
PizzasOriginal and Thin Crust Choices,Hawaiian BBQ Chicken (Original),Medium,16.64
PizzasOriginal and Thin Crust Choices,Hawaiian BBQ Chicken (Original),Large,18.72
PizzasOriginal and Thin Crust Choices,Hawaiian BBQ Chicken (Original),Extra Large,20.8
PizzasOriginal and Thin Crust Choices,Hawaiian BBQ Chicken (Thin),Large,18.72
PizzasOriginal and Thin Crust Choices,Tuscan Six Cheese (Original),Medium,16.64
PizzasOriginal and Thin Crust Choices,Tuscan Six Cheese (Original),Large,18.72
PizzasOriginal and Thin Crust Choices,Tuscan Six Cheese (Original),Extra Large,20.8
PizzasOriginal and Thin Crust Choices,Tuscan Six Cheese (Thin),Large,18.72
PizzasOriginal and Thin Crust Choices,Mediterranean Veggie (Original),Medium,16.64
PizzasOriginal and Thin Crust Choices,Mediterranean Veggie (Original),Large,18.72
PizzasOriginal and Thin Crust Choices,Mediterranean Veggie (Original),Extra Large,20.8
PizzasOriginal and Thin Crust Choices,Mediterranean Veggie (Thin),Large,18.72
PizzasOriginal and Thin Crust Choices,Chicken and Veggie (Original),Medium,16.64
PizzasOriginal and Thin Crust Choices,Chicken and Veggie (Original),Large,18.72
PizzasOriginal and Thin Crust Choices,Chicken and Veggie (Original),Extra Large,20.8
PizzasOriginal and Thin Crust Choices,Chicken and Veggie (Thin),Large,18.72
PizzasOriginal and Thin Crust Choices,Grilled Chicken & Canadian Bacon (Original),Medium,16.64
PizzasOriginal and Thin Crust Choices,Grilled Chicken & Canadian Bacon (Original),Large,18.72
PizzasOriginal and Thin Crust Choices,Grilled Chicken & Canadian Bacon (Original),Extra Large,20.8
PizzasOriginal and Thin Crust Choices,Grilled Chicken & Canadian Bacon (Thin),Large,18.72
PizzasOriginal and Thin Crust Choices,Tropical Luau (Original),Medium,16.64
PizzasOriginal and Thin Crust Choices,Tropical Luau (Original),Large,18.72
PizzasOriginal and Thin Crust Choices,Tropical Luau (Original),Extra Large,20.8
PizzasOriginal and Thin Crust Choices,Tropical Luau (Thin),Large,18.72
PizzasOriginal and Thin Crust Choices,Hawaiian Chicken (Original),Medium,16.64
PizzasOriginal and Thin Crust Choices,Hawaiian Chicken (Original),Large,18.72
PizzasOriginal and Thin Crust Choices,Hawaiian Chicken (Original),Extra Large,20.8
PizzasOriginal and Thin Crust Choices,Hawaiian Chicken (Thin),Large,18.72
PizzasOriginal and Thin Crust Choices,Double Bacon 6 Cheese (Original),Medium,16.64
PizzasOriginal and Thin Crust Choices,Double Bacon 6 Cheese (Original),Large,18.72
PizzasOriginal and Thin Crust Choices,Double Bacon 6 Cheese (Original),Extra Large,20.8
PizzasOriginal and Thin Crust Choices,Double Bacon 6 Cheese (Thin),Large,18.72
PizzasOriginal and Thin Crust Choices,Grilled Chicken Club (Original),Medium,16.64
PizzasOriginal and Thin Crust Choices,Grilled Chicken Club (Original),Large,18.72
PizzasOriginal and Thin Crust Choices,Grilled Chicken Club (Original),Extra Large,20.8
PizzasOriginal and Thin Crust Choices,Grilled Chicken Club (Thin),Large,18.72
PizzasOriginal and Thin Crust Choices,Cheesy Chicken Cordon Bleu (Original),Medium,16.64
PizzasOriginal and Thin Crust Choices,Cheesy Chicken Cordon Bleu (Original),Large,18.72
PizzasOriginal and Thin Crust Choices,Cheesy Chicken Cordon Bleu (Original),Extra Large,20.8
PizzasOriginal and Thin Crust Choices,Cheesy Chicken Cordon Bleu (Thin),Large,18.72
Sides,Garlic Knots,8 Pc.,6.24
Sides,Breadsticks,,6.24
Sides,Parmesan Breadsticks,,6.24
Sides,6 Cheese Breadsticks,10 in.,8.32
Sides,6 Cheese Breadsticks,12 in.,9.36
Sides,Cheesesticks,10 in.,7.28
Sides,Cheesesticks,12 in.,8.32
Sides,Bacon Cheesesticks,10 in.,8.32
Sides,Bacon Cheesesticks,12 in.,9.36
Sides,Pepperoni Rolls,,6.24
Sides,Chicken Poppers,10 Pc.,5.2
Sides,Chicken Poppers,15 Pc.,7.28
Sides,Chicken Poppers,30 Pc.,14.56
Sides,Chicken Poppers,45 Pc.,21.84
Sides,Chicken Poppers,60 Pc.,29.12
