Type,Food,Size,Price
Most Popular,Chicken Finger Plate,Regular,6.49
Most Popular,Chicken Finger Plate,Large,8.49
Most Popular,Buffalo Chicken Finger Plate,Regular,6.99
Most Popular,Buffalo Chicken Finger Plate,Large,8.99
Most Popular,Wings & Things,Boneless,6.79
Most Popular,Wings & Things,Traditional,7.79
Most Popular,Large Wings & Things,Boneless,8.79
Most Popular,Large Wings & Things,Traditional,9.79
Most Popular,Buffalo Wings & Things,Boneless,7.09
Most Popular,Buffalo Wings & Things,Traditional,8.09
Most Popular,Large Buffalo Wings & Things,Boneless,9.29
Most Popular,Large Buffalo Wings & Things,Traditional,10.29
Meal Dealz,Big Zax Snak® Meal,,5.99
Meal Dealz,Buffalo Big Zax Snak® Meal,,6.29
Meal Dealz,Boneless Wings Meal,,5.49
Meal Dealz,Buffalo Wings Meal,,6.49
Meal Dealz,Chicken Finger Sandwich Meal,,5.99
Meal Dealz,Kickin Chicken Sandwich,,3.99
Meal Dealz,Kickin Chicken Sandwich Meal,,5.99
Meal Dealz,Gameday Fillet Sandwich,,3.49
Meal Dealz,Gameday Fillet Sandwich Meal,,5.49
Meal Dealz,Grilled Chicken Sandwich,,3.99
Meal Dealz,Grilled Chicken Sandwich Meal,,5.79
Meal Dealz,Nibblerz® Meal,,6.29
Meal Dealz,Chicken Salad Sandwich,,3.99
Meal Dealz,Chicken Salad Sandwich Meal,,5.49
Meal Dealz,Zaxby’s Club Sandwich,,4.99
Meal Dealz,Cajun Club Sandwich,,4.99
Wings & Fingerz,Traditional,5 Pc.,4.99
Wings & Fingerz,Traditional,10 Pc.,8.99
Wings & Fingerz,Traditional,20 Pc.,16.99
Wings & Fingerz,Boneless,5 Pc.,3.99
Wings & Fingerz,Boneless,10 Pc.,6.99
Wings & Fingerz,Boneless,20 Pc.,12.99
Wings & Fingerz,Chicken Fingerz,5 Pc.,4.49
Wings & Fingerz,Chicken Fingerz,10 Pc.,7.99
Wings & Fingerz,Chicken Fingerz,20 Pc.,14.99
Wings & Fingerz,Buffalo Fingerz®,5 Pc.,4.99
Wings & Fingerz,Buffalo Fingerz®,10 Pc.,8.99
Wings & Fingerz,Buffalo Fingerz®,20 Pc.,16.99
Salads,The House (Garden),,4.99
Salads,The House (Fried),,6.99
Salads,The House (Grilled),,6.99
Salads,The Cobb Zalad (Garden),,5.29
Salads,The Cobb Zalad (Fried),,7.29
Salads,The Cobb Zalad (Grilled),,7.29
Salads,The Caesar (Garden),,4.99
Salads,The Caesar (Fried),,6.99
Salads,The Caesar (Grilled),,6.99
Salads,The Blue (Garden),,4.99
Salads,The Blue (Blackened),,6.99
Salads,The Blue (Buffaloed),,6.99
Zappetizers,Fried White Cheddar Bites,,3.29
Zappetizers,Onion Rings,,3.29
Zappetizers,Spicy Fried Mushrooms,,3.29
Zappetizers,Tater Chips,,3.29
Zax Kidz,Kiddie Fingerz,,3.99
Zax Kidz,Buffalo Kiddie Fingerz,,4.19
Zax Kidz,Kiddie Cheese,,3.99
Zax Kidz,Kidz Nibbler,,3.99
Sides & Extras,Zax Sauce,,0.25
Sides & Extras,Sauce,,0.25
Sides & Extras,Dressing,,0.25
Sides & Extras,The Nibbler,,1.59
Sides & Extras,Buffalo Zax Snak,,4.29
Sides & Extras,Zax Snak,,3.99
Sides & Extras,Crinkle Fries,Regular,1.49
Sides & Extras,Crinkle Fries,Large,1.99
Sides & Extras,Side Salad,,2.49
Sides & Extras,Side Caesar Salad,,2.49
Sides & Extras,Chicken Finger,,1.09
Sides & Extras,Buffalo Finger,,1.19
Sides & Extras,Celery,Basket,1.89
Sides & Extras,Texas Toast,Basket,1.49
Sides & Extras,Chicken Salad,Cup,2.79
Sides & Extras,Chicken Salad,Regular,4.49
Sides & Extras,Chicken Salad,Large,8.99
Sides & Extras,Coleslaw,Cup,0.49
Sides & Extras,Coleslaw,Regular,1.29
Sides & Extras,Coleslaw,Large,2.58
Desserts,Fresh-Baked Cookie,1 Pc.,0.49
Desserts,Fresh-Baked Cookies,3 Pc.,1.29
Desserts,Brownie,,0.99
Beverages,Drink,Small,1.69
Beverages,Drink,Medium,1.89
Beverages,Drink,Large,2.09
Beverages,Bottled Water,,1.49
Beverages,Apple Juice,,1.09
Beverages,Milk,Regular,1.09
Beverages,Milk,Chocolate,1.09
Beverages,Kidz Beverage,,0.99
Beverages,Tea (Sweet or Unsweetened),1 Gallon,4.99
Catering Party Platterz,Chicken Fingerz™ Platter,40 Pc.,36.99
Catering Party Platterz,Chicken Fingerz™ Platter,60 Pc.,49.99
Catering Party Platterz,Buffalo Fingerz™ Platter,40 Pc.,40.99
Catering Party Platterz,Buffalo Fingerz™ Platter,60 Pc.,55.99
Catering Party Platterz,Zampler Traditional Platter (20 Fingers & 20 Traditional Wings),Regular,39.99
Catering Party Platterz,Zampler Traditional Platter (30 Fingers & 30 Traditional Wings),Large,54.99
Catering Party Platterz,Zampler Boneless Platter (20 Fingers & 20 Boneless Wings),Regular,35.99
Catering Party Platterz,Zampler Boneless Platter (30 Fingers & 30 Boneless Wings),Large,47.99
Catering Party Platterz,Buffalo Traditional Platter (20 Buffalo Fingers & 20 Traditional Wings),Regular,41.99
Catering Party Platterz,Buffalo Traditional Platter (30 Buffalo Fingers & 30 Traditional Wings),Large,56.99
Catering Party Platterz,Buffalo Boneless Platter (20 Buffalo Fingers & 20 Boneless Wings),Regular,37.99
Catering Party Platterz,Buffalo Boneless Platter (30 Buffalo Fingers & 30 Boneless Wings),Large,50.99
Catering Party Platterz,Traditional Wings,40 Pc.,42.99
Catering Party Platterz,Traditional Wings,60 Pc.,57.99
Catering Party Platterz,Boneless Wings,40 Pc.,34.99
Catering Party Platterz,Boneless Wings,60 Pc.,46.99
Catering Party Platterz,Chicken Fingerz™ Boxed,40 Pc.,31.99
Catering Party Platterz,Chicken Fingerz™ Boxed,60 Pc.,44.99
Catering Party Platterz,Buffalo Fingerz™ Boxed,40 Pc.,35.99
Catering Party Platterz,Buffalo Fingerz™ Boxed,60 Pc.,48.99
Catering Party Platterz,Zapler Traditional Boxed (20 Fingers & 20 Traditional Wings),Regular,34.99
Catering Party Platterz,Zapler Traditional Boxed (30 Fingers & 30 Traditional Wings),Large,48.99
Catering Party Platterz,Zapler Boneless Boxed (20 Fingers & 20 Boneless Wings),Regular,30.99
Catering Party Platterz,Zapler Boneless Boxed (30 Fingers & 30 Boneless Wings),Large,42.99
Catering Party Platterz,Buffalo Traditional Boxed (20 Buffalo Fingers & 20 Traditional Wings),Regular,36.99
Catering Party Platterz,Buffalo Traditional Boxed (30 Buffalo Fingers & 30 Traditional Wings),Large,51.99
Catering Party Platterz,Buffalo Boneless Boxed (20 Buffalo Fingers & 20 Boneless Wings),Regular,32.99
Catering Party Platterz,Buffalo Boneless Boxed (30 Buffalo Fingers & 30 Boneless Wings),Large,45.99
Catering Party Platterz,Traditional Wings Boxed,40 Pc.,37.99
Catering Party Platterz,Traditional Wings Boxed,60 Pc.,52.99
Catering Party Platterz,Boneless Wings Boxed,40 Pc.,29.99
Catering Party Platterz,Boneless Wings Boxed,60 Pc.,41.99
Catering Party Platterz,Nibblerz Platter,20 Pc.,34.99
Catering Party Platterz,Nibblerz Go Bag,20 Pc.,29.99
Catering Party Platterz,Chicken Salad,Regular,4.49
Catering Party Platterz,Chicken Salad,Large,8.99
Catering Party Platterz,Cole Slaw,Regular,1.29
Catering Party Platterz,Cole Slaw,Large,2.58
Catering Party Platterz,Brownie Platter,Regular,6.99
Catering Party Platterz,Brownie Platter,Large,11.79
Catering Party Platterz,Cookie Platter (1 Flavor),Regular,4.99
Catering Party Platterz,Cookie Platter (3 Flavors),Large,14.99
"Zax Pak Boxed LaunchIncludes Chips, Coleslaw & Fresh-Baked Chocolate Chip Cookie",Chicken Fingerz Sandwich Box,,5.99
"Zax Pak Boxed LaunchIncludes Chips, Coleslaw & Fresh-Baked Chocolate Chip Cookie",Chicken Fingerz Boxed Lunch,,5.99
"Zax Pak Boxed LaunchIncludes Chips, Coleslaw & Fresh-Baked Chocolate Chip Cookie",Grilled Chicken Sandwich Box,,5.99
"Zax Pak Boxed LaunchIncludes Chips, Coleslaw & Fresh-Baked Chocolate Chip Cookie",Boneless Wing Box,5 Pc.,5.99
"Zax Pak Boxed LaunchIncludes Chips, Coleslaw & Fresh-Baked Chocolate Chip Cookie",Nibblerz Box,2 Pc.,5.99
Specials,Boneless Wings Meal (Limited Time),,5.49
