Type,Food,Size,Price
CombosIncludes Individual Side & Medium Drink,2 Pc. Chicken – Combo,,6.23
CombosIncludes Individual Side & Medium Drink,Popcorn Nuggets – Combo,,5.71
CombosIncludes Individual Side & Medium Drink,2 Chicken Littles – Combo,,5.5
CombosIncludes Individual Side & Medium Drink,Go Large Combo,,1.56
Nashville Hot Chicken,"1 Pc. Basket (Chicken Breast, Coleslaw & Biscuit)",,5.71
Nashville Hot Chicken,"2 Pc. Basket (Drumstick & Thigh, Coleslaw & Biscuit)",,5.71
Nashville Hot Chicken,"8 Pc. Meal (8 Pc. Chicken, Large Mashed Potatoes & Gravy, Large Coleslaw & 4 Biscuits)",,22.87
Nashville Hot Tenders,"3 Pc. Basket (3 Tenders, Coleslaw & Biscuit)",,5.71
Nashville Hot Tenders,24 Pc. Tailgate Meal (24 Tenders),,31.19
"Tenders, Popcorn Nuggets, and WingsCombo Includes Individual Side & Medium Drink",Chicken Tenders,3 Pc.,4.15
"Tenders, Popcorn Nuggets, and WingsCombo Includes Individual Side & Medium Drink",Chicken Tenders,6 Pc.,7.27
"Tenders, Popcorn Nuggets, and WingsCombo Includes Individual Side & Medium Drink",Chicken Tenders,12 Pc.,13.51
"Tenders, Popcorn Nuggets, and WingsCombo Includes Individual Side & Medium Drink",Chicken Tenders – Combo,3 Pc.,6.23
"Tenders, Popcorn Nuggets, and WingsCombo Includes Individual Side & Medium Drink",Kentucky Fried Wings,6 Pc.,5.2
"Tenders, Popcorn Nuggets, and WingsCombo Includes Individual Side & Medium Drink",Kentucky Fried Wings,12 Pc.,10.39
"Tenders, Popcorn Nuggets, and WingsCombo Includes Individual Side & Medium Drink",Kentucky Fried Wings,24 Pc.,19.75
"Tenders, Popcorn Nuggets, and WingsCombo Includes Individual Side & Medium Drink",Kentucky Fried Wings,48 Pc.,38.47
"Tenders, Popcorn Nuggets, and WingsCombo Includes Individual Side & Medium Drink",Popcorn Nuggets,Large,4.15
Family Meals,8 Pc. Chicken Only,,15.59
Family Meals,12 Pc. Chicken Only,,21.31
Family Meals,16 Pc. Chicken Only,,25.99
Family Meals,"Tenders Meal (12 Pc. Tenders, 2 Large Sides, 4 Biscuits & 6 Sauces)",,20.79
Sandwiches,Chicken Sandwich,,1.82
Homestyle Sides,Mashed Potatoes,Individual,2.07
Homestyle Sides,Mashed Potatoes,Large,3.94
Homestyle Sides,Secret Recipe Fries,Individual,2.59
Homestyle Sides,Secret Recipe Fries,Large,4.67
Homestyle Sides,Baked Beans,Individual,2.07
Homestyle Sides,Baked Beans,Large,3.94
Homestyle Sides,Cole Slaw,Individual,2.07
Homestyle Sides,Cole Slaw,Large,3.94
Homestyle Sides,Sweet Kernel Corn,Individual,2.07
Homestyle Sides,Sweet Kernel Corn,Large,3.94
Homestyle Sides,Green Beans,Individual,2.07
Homestyle Sides,Green Beans,Large,3.94
Homestyle Sides,Mac & Cheese,Individual,2.07
Homestyle Sides,Mac & Cheese,Large,3.94
Homestyle Sides,2 Biscuits,,1.55
Drinks,Soft Drink,Medium,1.76
Drinks,Soft Drink,Large,2.07
Drinks,Aquafina Water,Bottle,1.76
Drinks,Iced Tea,1/2 Gallon,2.59
Drinks,Lemonade,Medium,2.07
Drinks,Lemonade,1/2 Gallon,3.63
Drinks,Strawberry Lemonade,Medium,2.38
Drinks,Strawberry Lemonade,1/2 Gallon,4.15
$20 Family Fill UpLimited Time,"8 Pc. Chicken, 2 Large Mashed Potatoes, Large Gravy, Large Coleslaw & 4 Biscuits",,20.8
"Big Box MealsIncludes Individual Mashed Potatoes with Gravy, Coleslaw, Biscuit & Medium Drink",3 Pc. Chicken Box,,8.31
"Big Box MealsIncludes Individual Mashed Potatoes with Gravy, Coleslaw, Biscuit & Medium Drink",Crispy Colonel Combo with 2 Sides,,8.31
"Big Box MealsIncludes Individual Mashed Potatoes with Gravy, Coleslaw, Biscuit & Medium Drink",5 pc. Tenders with 2 Sides,,8.31
Desserts,Cakes,,4.15
Desserts,Cookies,3 Pc.,1.34
Desserts,Cookies,12 Pc.,4.67
Classics,KFC Famous Bowl,,6.44
Classics,Pot Pie,,6.44
Promotions,$30 Fill Up,,31.2
Promotions,$20 Fill Up,,20.8
Promotions,Tenders and Fries Meal,,5.71
Promotions,$10 Popcorn Nuggets,,10.4
