Type,Food,Size,Price
BurgersMeals Include Medium French Fries or Salad & Soft Drink,Big Mac,,5.11
BurgersMeals Include Medium French Fries or Salad & Soft Drink,Big Mac – Meal,,7.67
BurgersMeals Include Medium French Fries or Salad & Soft Drink,2 Cheeseburgers,,2.56
BurgersMeals Include Medium French Fries or Salad & Soft Drink,2 Cheeseburgers – Meal,,6.26
BurgersMeals Include Medium French Fries or Salad & Soft Drink,Quarter Pounder with Cheese,,4.85
BurgersMeals Include Medium French Fries or Salad & Soft Drink,Quarter Pounder with Cheese – Meal,,7.41
BurgersMeals Include Medium French Fries or Salad & Soft Drink,Double Quarter Pounder with Cheese,,6.13
BurgersMeals Include Medium French Fries or Salad & Soft Drink,Double Quarter Pounder with Cheese – Meal,,8.56
BurgersMeals Include Medium French Fries or Salad & Soft Drink,Bacon Clubhouse Burger,,5.75
Chicken & SandwichesMeals Include Medium French Fries or Salad & Soft Drink,Bacon Clubhouse Burger – Meal,,8.31
Chicken & SandwichesMeals Include Medium French Fries or Salad & Soft Drink,Buttermilk Crispy Chicken,,5.62
Chicken & SandwichesMeals Include Medium French Fries or Salad & Soft Drink,Buttermilk Crispy Chicken – Meal,,8.18
Chicken & SandwichesMeals Include Medium French Fries or Salad & Soft Drink,Artisan Grilled Chicken,,5.62
Chicken & SandwichesMeals Include Medium French Fries or Salad & Soft Drink,Artisan Grilled Chicken – Meal,,8.18
Chicken & SandwichesMeals Include Medium French Fries or Salad & Soft Drink,Premium McWrap Chicken & Bacon (Grilled or Crispy),,5.62
Chicken & SandwichesMeals Include Medium French Fries or Salad & Soft Drink,Premium McWrap Chicken & Ranch (Grilled or Crispy),,5.62
Chicken & SandwichesMeals Include Medium French Fries or Salad & Soft Drink,Premium McWrap Sweet Chili Chicken (Grilled or Crispy),,5.62
Chicken & SandwichesMeals Include Medium French Fries or Salad & Soft Drink,Filet-O-Fish,,4.85
Chicken & SandwichesMeals Include Medium French Fries or Salad & Soft Drink,Filet-O-Fish – Meal,,7.41
Chicken & SandwichesMeals Include Medium French Fries or Salad & Soft Drink,Double Filet-O-Fish,,6.13
Chicken & SandwichesMeals Include Medium French Fries or Salad & Soft Drink,Double Filet-O-Fish – Meal,,8.69
Chicken & SandwichesMeals Include Medium French Fries or Salad & Soft Drink,Premium Chicken Bacon Clubhouse (Grilled or Crispy),,5.75
NuggetsMeals Include Medium French Fries or Salad & Soft Drink,Chicken McNuggets (Regular or Spicy),10 Pc.,5.75
NuggetsMeals Include Medium French Fries or Salad & Soft Drink,Chicken McNuggets – Meal (Regular or Spicy),10 Pc.,8.31
NuggetsMeals Include Medium French Fries or Salad & Soft Drink,Chicken McNuggets (Regular or Spicy),20 Pc.,6.4
NuggetsMeals Include Medium French Fries or Salad & Soft Drink,Chicken McNuggets (Regular or Spicy),40 Pc.,11.51
SaladsGrilled or Crispy Chicken,Southwest Salad,,6.13
SaladsGrilled or Crispy Chicken,Bacon Ranch Salad,,5.88
Snacks & Sides,Donut Sticks,,3.32
Snacks & Sides,French Fries,Small,1.78
Snacks & Sides,French Fries,Medium,2.29
Snacks & Sides,French Fries,Large,2.42
Snacks & Sides,"Minute Maid Slushie (Blue Rapsberry, Fruit Punch, Pink Lemonade)",,2.56
Snacks & Sides,Apple Slices,,1.28
Desserts & Shakes,"Shake (Chocolate, Vanilla, or Strawberry)",Small,2.8
Desserts & Shakes,"Shake (Chocolate, Vanilla, or Strawberry)",Medium,3.32
Desserts & Shakes,"Shake (Chocolate, Vanilla, or Strawberry)",Large,3.83
Desserts & Shakes,Sundae (Hot Fudge or Caramel),,1.65
Desserts & Shakes,Cone (Vanilla),,1.28
Desserts & Shakes,McFlurry,Snack,2.29
Desserts & Shakes,McFlurry,Regular,3.06
"Happy MealsIncludes Kids French Fries, Side & Drink",Chicken McNuggets,4 Pc.,4.21
"Happy MealsIncludes Kids French Fries, Side & Drink",Hamburger,,3.19
"Happy MealsIncludes Kids French Fries, Side & Drink",Cheeseburger,,3.57
Oatmeal,Fruit & Maple Oatmeal,,2.55
$1 $2 $3 Menu,Soft Drink,Small,1.28
$1 $2 $3 Menu,Specialty McCafé® beverages,Small,2.56
Limited Time Offers,McRib,,4.72
Limited Time Offers,Holiday Pie,,1.14
Limited Time Offers,Spicy McChicken,,1.28
Limited Time Offers,Shamrock Shake,Small,2.8
Limited Time Offers,Shamrock Shake,Medium,3.32
Limited Time Offers,Shamrock Shake,Large,3.83
Limited Time Offers,Spicy Chicken McNuggets,10 Pc.,5.57
Limited Time Offers,Frozen Strawberry Lemonade,Medium,3.32
Limited Time Offers,Angus Chipotle BBQ Burger,,12.48
Limited Time Offers,Cherry Berry Chiller,Small,2.16
Limited Time Offers,Cherry Berry Chiller,Medium,2.55
Limited Time Offers,Cherry Berry Chiller,Large,2.93
