Type,Food,Size,Price
Cheese Pizza,Hand-Tossed,Medium,12.47
Cheese Pizza,Hand-Tossed,Large,15.59
Cheese Pizza,Pan Pizza,Personal,4.98
Cheese Pizza,Pan Pizza,Medium,12.47
Cheese Pizza,Pan Pizza,Large,15.59
Cheese Pizza,Thin N Crispy,Medium,12.47
Cheese Pizza,Thin N Crispy,Large,15.59
Cheese Pizza,Stuffed Crust,Large,17.67
Cheese Pizza,Skinny Slice,Large,15.59
Classic Recipe Pizzas,Pepperoni Lover’s® Pizza (Hand-Tossed),Medium,12.47
Classic Recipe Pizzas,Pepperoni Lover’s® Pizza (Hand-Tossed),Large,15.59
Classic Recipe Pizzas,Pepperoni Lover’s® Pizza (Pan Pizza),Personal,4.98
Classic Recipe Pizzas,Pepperoni Lover’s® Pizza (Pan Pizza),Medium,12.47
Classic Recipe Pizzas,Pepperoni Lover’s® Pizza (Pan Pizza),Large,15.59
Classic Recipe Pizzas,Pepperoni Lover’s® Pizza (Thin N Crispy),Medium,12.47
Classic Recipe Pizzas,Pepperoni Lover’s® Pizza (Thin N Crispy),Large,15.59
Classic Recipe Pizzas,Pepperoni Lover’s® Pizza (Stuffed Crust),Large,17.67
Classic Recipe Pizzas,Pepperoni Lover’s® Pizza (Skinny Slice),Large,15.59
Classic Recipe Pizzas,Meat Lover’s® Pizza (Hand-Tossed),Medium,12.47
Classic Recipe Pizzas,Meat Lover’s® Pizza (Hand-Tossed),Large,15.59
Classic Recipe Pizzas,Meat Lover’s® Pizza (Pan Pizza),Personal,4.98
Classic Recipe Pizzas,Meat Lover’s® Pizza (Pan Pizza),Medium,12.47
Classic Recipe Pizzas,Meat Lover’s® Pizza (Pan Pizza),Large,15.59
Classic Recipe Pizzas,Meat Lover’s® Pizza (Thin N Crispy),Medium,12.47
Classic Recipe Pizzas,Meat Lover’s® Pizza (Thin N Crispy),Large,15.59
Classic Recipe Pizzas,Meat Lover’s® Pizza (Stuffed Crust),Large,17.67
Classic Recipe Pizzas,Meat Lover’s® Pizza (Skinny Slice),Large,15.59
Classic Recipe Pizzas,Ultimate Cheese Lover’s Pizza (Hand-Tossed),Medium,12.47
Classic Recipe Pizzas,Ultimate Cheese Lover’s Pizza (Hand-Tossed),Large,15.59
Classic Recipe Pizzas,Ultimate Cheese Lover’s Pizza (Pan Pizza),Personal,4.98
Classic Recipe Pizzas,Ultimate Cheese Lover’s Pizza (Pan Pizza),Medium,12.47
Classic Recipe Pizzas,Ultimate Cheese Lover’s Pizza (Pan Pizza),Large,15.59
Classic Recipe Pizzas,Ultimate Cheese Lover’s Pizza (Thin N Crispy),Medium,12.47
Classic Recipe Pizzas,Ultimate Cheese Lover’s Pizza (Thin N Crispy),Large,15.59
Classic Recipe Pizzas,Ultimate Cheese Lover’s Pizza (Stuffed Crust),Large,17.67
Classic Recipe Pizzas,Ultimate Cheese Lover’s Pizza (Skinny Slice),Large,15.59
Classic Recipe Pizzas,Veggie Lover’s® Pizza (Hand-Tossed),Medium,12.47
Classic Recipe Pizzas,Veggie Lover’s® Pizza (Hand-Tossed),Large,15.59
Classic Recipe Pizzas,Veggie Lover’s® Pizza (Pan Pizza),Personal,4.98
Classic Recipe Pizzas,Veggie Lover’s® Pizza (Pan Pizza),Medium,12.47
Classic Recipe Pizzas,Veggie Lover’s® Pizza (Pan Pizza),Large,15.59
Classic Recipe Pizzas,Veggie Lover’s® Pizza (Thin N Crispy),Medium,12.47
Classic Recipe Pizzas,Veggie Lover’s® Pizza (Thin N Crispy),Large,15.59
Classic Recipe Pizzas,Veggie Lover’s® Pizza (Stuffed Crust),Large,17.67
Classic Recipe Pizzas,Veggie Lover’s® Pizza (Skinny Slice),Large,15.59
Classic Recipe Pizzas,Supreme Pizza (Hand-Tossed),Medium,12.47
Classic Recipe Pizzas,Supreme Pizza (Hand-Tossed),Large,15.59
Classic Recipe Pizzas,Supreme Pizza (Pan Pizza),Personal,4.98
Classic Recipe Pizzas,Supreme Pizza (Pan Pizza),Medium,12.47
Classic Recipe Pizzas,Supreme Pizza (Pan Pizza),Large,15.59
Classic Recipe Pizzas,Supreme Pizza (Thin N Crispy),Medium,12.47
Classic Recipe Pizzas,Supreme Pizza (Thin N Crispy),Large,15.59
Classic Recipe Pizzas,Supreme Pizza (Stuffed Crust),Large,17.67
