Type,Food,Size,Price
Chicken Sandwiches,Classic Chicken Sandwich Combo,,8.0
Chicken Sandwiches,Spicy Chicken Sandwich Combo,,8.0
"Chicken CombosDinners Include Regular Side & Biscuit. Combos Include Regular Side, Biscuit, & Small Drink. Spicy or Mild.",Bonafide® Chicken – Dinner,2 Pc.,5.5
"Chicken CombosDinners Include Regular Side & Biscuit. Combos Include Regular Side, Biscuit, & Small Drink. Spicy or Mild.",Bonafide® Chicken – Combo,2 Pc.,7.06
"Chicken CombosDinners Include Regular Side & Biscuit. Combos Include Regular Side, Biscuit, & Small Drink. Spicy or Mild.",Bonafide® Chicken – Dinner,3 Pc.,6.75
"Chicken CombosDinners Include Regular Side & Biscuit. Combos Include Regular Side, Biscuit, & Small Drink. Spicy or Mild.",Bonafide® Chicken – Combo,3 Pc.,8.31
"Chicken CombosDinners Include Regular Side & Biscuit. Combos Include Regular Side, Biscuit, & Small Drink. Spicy or Mild.",Bonafide® Chicken – Dinner,4 Pc.,8.0
"Chicken CombosDinners Include Regular Side & Biscuit. Combos Include Regular Side, Biscuit, & Small Drink. Spicy or Mild.",Bonafide® Chicken – Combo,4 Pc.,9.56
"Chicken CombosDinners Include Regular Side & Biscuit. Combos Include Regular Side, Biscuit, & Small Drink. Spicy or Mild.",Wings – Dinner,3 Pc.,6.75
"Chicken CombosDinners Include Regular Side & Biscuit. Combos Include Regular Side, Biscuit, & Small Drink. Spicy or Mild.",Wings – Combo,3 Pc.,8.31
"Tender CombosDinners Include Regular Side & Biscuit. Combos Include Regular Side, Biscuit, & Small Drink. Spicy, Mild or Blackened.",Tenders – Dinner,3 Pc.,6.02
"Tender CombosDinners Include Regular Side & Biscuit. Combos Include Regular Side, Biscuit, & Small Drink. Spicy, Mild or Blackened.",Tenders – Combo,3 Pc.,7.58
"Tender CombosDinners Include Regular Side & Biscuit. Combos Include Regular Side, Biscuit, & Small Drink. Spicy, Mild or Blackened.",Tenders – Dinner,5 Pc.,8.1
"Tender CombosDinners Include Regular Side & Biscuit. Combos Include Regular Side, Biscuit, & Small Drink. Spicy, Mild or Blackened.",Tenders – Combo,5 Pc.,9.66
"SeafoodDinners Include Regular Side & Biscuit. Combos Include Regular Side, Biscuit, & Small Drink. Platter Include 2 Regular Sides, Biscuit, & Medium Drink",1/4 lb Popcorn Shrimp,Dinner,5.71
"SeafoodDinners Include Regular Side & Biscuit. Combos Include Regular Side, Biscuit, & Small Drink. Platter Include 2 Regular Sides, Biscuit, & Medium Drink",1/4 lb Popcorn Shrimp,Combo,7.27
Chicken Family MealsChicken or Tenders – Spicy or Mild,Mixed Chicken,8 Pc.,20.59
Chicken Family MealsChicken or Tenders – Spicy or Mild,Mixed Chicken,12 Pc.,29.74
Chicken Family MealsChicken or Tenders – Spicy or Mild,Mixed Chicken,16 Pc.,36.61
Chicken Family MealsChicken or Tenders – Spicy or Mild,Handcrafted Tenders,8 Pc.,20.59
Chicken Family MealsChicken or Tenders – Spicy or Mild,Handcrafted Tenders,12 Pc.,29.74
Chicken Family MealsChicken or Tenders – Spicy or Mild,Handcrafted Tenders,16 Pc.,36.61
Signature Sides,Red Beans & Rice,Regular,1.86
Signature Sides,Red Beans & Rice,Large,4.15
Signature Sides,Mashed Potatoes with Cajun Gravy,Regular,1.86
Signature Sides,Mashed Potatoes with Cajun Gravy,Large,4.15
Signature Sides,Cole Slaw,Regular,1.86
Signature Sides,Cole Slaw,Large,4.15
Signature Sides,Cajun Fries,Regular,1.86
Signature Sides,Cajun Fries,Large,4.15
Signature Sides,Cajun Rice,Regular,1.86
Signature Sides,Cajun Rice,Large,4.15
Signature Sides,Green Beans,Regular,1.86
Signature Sides,Green Beans,Large,4.15
Signature Sides,Biscuit,1 Pc.,0.82
Signature Sides,Biscuits,6 Pc.,4.15
Signature Sides,Biscuits,12 Pc.,7.27
Signature Sides,Jalapeno,1 Pc.,0.51
Signature Sides,Jalapeno,6 Pc.,2.03
Drinks,Soft Drink,Small,2.07
Drinks,Soft Drink,Medium,2.38
Drinks,Soft Drink,Large,2.69
Drinks,Iced Tea,1/2 Gallon,3.11
Drinks,Iced Tea,1 Gallon,5.19
Drinks,Lemonade or Fruit Punch,1/2 Gallon,3.11
Drinks,Lemonade or Fruit Punch,1 Gallon,5.19
Kids MealsIncludes Regular Side & Kids Drink,Mild Tender,1 Pc.,3.53
Kids MealsIncludes Regular Side & Kids Drink,Nuggets,4 Pc.,3.53
Kids MealsIncludes Regular Side & Kids Drink,Mild Leg,1 Pc.,3.53
Desserts,Hot Cinnamon Apple Pie,,1.34
Family Feasts,4 Sandwiches,,20.59
Family Feasts,Big Family Feast,,36.61
Family Feasts,Bigger Family Feast,,62.4
Limited Time Offers,Raspberry Cheesecake Fried Pie,,1.25
Limited Time Offers,Chocolate Beignets,3 Pc.,2.07
Limited Time Offers,Ghost Pepper Wings Combo,6 Pc.,7.48
Limited Time Offers,Ghost Pepper Wings Combo,12 Pc.,11.64
Limited Time Offers,Ghost Pepper Wings Dinner,6 Pc.,8.73
Limited Time Offers,Ghost Pepper Wings Dinner,12 Pc.,13.72
