Type,Food,Size,Price
CombosIncludes Medium Tots or Fries and Medium Soft Drink,SONIC Cheeseburger,,4.05
CombosIncludes Medium Tots or Fries and Medium Soft Drink,SONIC Cheeseburger – Combo,,6.23
CombosIncludes Medium Tots or Fries and Medium Soft Drink,SuperSONIC Double Cheeseburger,,5.19
CombosIncludes Medium Tots or Fries and Medium Soft Drink,SuperSONIC Double Cheeseburger – Combo,,7.27
CombosIncludes Medium Tots or Fries and Medium Soft Drink,SuperSONIC Bacon Double Cheeseburger,,5.71
CombosIncludes Medium Tots or Fries and Medium Soft Drink,SuperSONIC Bacon Double Cheeseburger – Combo,,8.21
CombosIncludes Medium Tots or Fries and Medium Soft Drink,Bacon Cheeseburger TOASTER,,5.19
CombosIncludes Medium Tots or Fries and Medium Soft Drink,Bacon Cheeseburger TOASTER – Combo,,7.27
CombosIncludes Medium Tots or Fries and Medium Soft Drink,Chicken Club TOASTER,,5.29
CombosIncludes Medium Tots or Fries and Medium Soft Drink,Chicken Club TOASTER – Combo,,7.58
CombosIncludes Medium Tots or Fries and Medium Soft Drink,Chicago Dog,,2.49
CombosIncludes Medium Tots or Fries and Medium Soft Drink,Chicago Dog – Combo,,5.4
CombosIncludes Medium Tots or Fries and Medium Soft Drink,New York Dog,,2.07
CombosIncludes Medium Tots or Fries and Medium Soft Drink,New York Dog – Combo,,5.19
CombosIncludes Medium Tots or Fries and Medium Soft Drink,Chili Cheese Coney,,2.07
CombosIncludes Medium Tots or Fries and Medium Soft Drink,Chili Cheese Coney – Combo,,5.19
CombosIncludes Medium Tots or Fries and Medium Soft Drink,All-American Dog,,2.07
CombosIncludes Medium Tots or Fries and Medium Soft Drink,All-American Dog – Combo,,5.19
CombosIncludes Medium Tots or Fries and Medium Soft Drink,Footlong Quarter Pound Coney,,3.84
CombosIncludes Medium Tots or Fries and Medium Soft Drink,Footlong Quarter Pound Coney – Combo,,6.23
CombosIncludes Medium Tots or Fries and Medium Soft Drink,Jumbo Popcorn Chicken,Medium,4.15
CombosIncludes Medium Tots or Fries and Medium Soft Drink,Jumbo Popcorn Chicken – Combo,Medium,6.13
CombosIncludes Medium Tots or Fries and Medium Soft Drink,Jumbo Popcorn Chicken,Large,5.19
CombosIncludes Medium Tots or Fries and Medium Soft Drink,Jumbo Popcorn Chicken – Combo,Large,7.17
CombosIncludes Medium Tots or Fries and Medium Soft Drink,Classic Chicken Sandwich (Grilled or Crispy),,4.67
CombosIncludes Medium Tots or Fries and Medium Soft Drink,Classic Chicken Sandwich (Grilled or Crispy) – Combo,,7.06
CombosIncludes Medium Tots or Fries and Medium Soft Drink,Super Crunch Chicken Strips,3 Pc.,3.63
CombosIncludes Medium Tots or Fries and Medium Soft Drink,Super Crunch Chicken Strips – Combo,3 Pc.,6.02
CombosIncludes Medium Tots or Fries and Medium Soft Drink,Super Crunch Chicken Strips,5 Pc.,4.88
CombosIncludes Medium Tots or Fries and Medium Soft Drink,Super Crunch Chicken Strips – Combo,5 Pc.,7.06
CombosIncludes Medium Tots or Fries and Medium Soft Drink,Super Crunch Chicken Strip Dinner (Medium Combo),4 Pc.,7.06
CombosIncludes Medium Tots or Fries and Medium Soft Drink,Super Crunch Chicken Strip Dinner (Without Drink),4 Pc.,5.92
CombosIncludes Medium Tots or Fries and Medium Soft Drink,"Add (American Cheese, Hot Chili or Spicy Jalapeños)",,0.52
CombosIncludes Medium Tots or Fries and Medium Soft Drink,Add (Crispy Bacon),,0.62
Hot Dogs,The Original Pretzel Dog (Limited Time),,2.17
Hot Dogs,Cheesy Bacon Pretzel Dog (Limited Time),,3.11
"ChickenBoneless Wing Flavors: Garlic Parmesan, Honey BBQ, Asian Sweet Chili, Buffalo, Island Fire or Extreme Habanero Heat",Boneless Wings (Limited Time),6 Pc.,4.67
"ChickenBoneless Wing Flavors: Garlic Parmesan, Honey BBQ, Asian Sweet Chili, Buffalo, Island Fire or Extreme Habanero Heat",Boneless Wings (Limited Time),12 Pc.,9.14
"ChickenBoneless Wing Flavors: Garlic Parmesan, Honey BBQ, Asian Sweet Chili, Buffalo, Island Fire or Extreme Habanero Heat",Boneless Wings (Limited Time),24 Pc.,17.67
"ChickenBoneless Wing Flavors: Garlic Parmesan, Honey BBQ, Asian Sweet Chili, Buffalo, Island Fire or Extreme Habanero Heat",Ultimate Chicken Sandwich – Traditional or Classic (Limited Time),,6.23
Sides,Mozzarella Sticks with Marinara,Mini (2 Pc.),1.34
Sides,Mozzarella Sticks with Marinara,Small (4 Pc.),2.59
Sides,Mozzarella Sticks with Marinara,Medium (6 Pc.),3.73
Sides,Mozzarella Sticks with Marinara,Large (8 Pc.),4.98
Sides,Mozzarella Sticks with Marinara,Family (16 Pc.),8.31
Sides,Ched ‘R’ Bites with Ranch,Mini,1.65
Sides,Ched ‘R’ Bites with Ranch,Small,3.11
Sides,Ched ‘R’ Bites with Ranch,Medium,4.46
Sides,Ched ‘R’ Bites with Ranch,Large,5.5
Sides,Ched ‘R’ Bites with Ranch,Family,9.35
Sides,Tots or Fries,Mini,0.82
Sides,Tots or Fries,Small,1.24
Sides,Tots or Fries,Medium,2.07
Sides,Tots or Fries,Large,2.49
Sides,Tots or Fries,Family,4.15
Sides,Handmade Onion Rings,Mini,1.34
Sides,Handmade Onion Rings,Small,2.38
Sides,Handmade Onion Rings,Medium,3.01
Sides,Handmade Onion Rings,Large,3.53
Sides,Handmade Onion Rings,Family,5.61
Sides,Chili Cheese Tots or Fries,Mini,1.34
Sides,Chili Cheese Tots or Fries,Small,2.38
Sides,Chili Cheese Tots or Fries,Medium,3.21
Sides,Chili Cheese Tots or Fries,Large,3.63
Sides,Chili Cheese Tots or Fries,Family,6.23
Sides,Jumbo Popcorn Chicken,Mini,1.55
Sides,Jumbo Popcorn Chicken,Small,3.11
Sides,Jumbo Popcorn Chicken,Medium,4.15
Sides,Jumbo Popcorn Chicken,Large,5.19
Sides,Jumbo Popcorn Chicken,Family,7.27
Sides,Apple Slices,,1.34
Everyday Deals,Jr. Breakfast Burrito,,1.24
Everyday Deals,Jr. Deluxe Burger,,1.45
Everyday Deals,Jr. Deluxe Cheeseburger,,1.76
Everyday Deals,Jr. Double Cheeseburger,,2.07
Everyday Deals,Chicken Strip Sandwich,,1.55
Everyday Deals,Grilled Cheese,,1.55
Everyday Deals,Corn Dog,,1.34
Everyday Deals,Tots or Fries,Small,1.24
Everyday Deals,Iced Tea,Small,1.24
Everyday Deals,Soft Drink,Small,1.24
Everyday Deals,Famous Slush,Small,1.24
Everyday Deals,Vanilla Cone,,1.04
Everyday Deals,Vanilla Dish,,1.55
Everyday Deals,Real Ice Cream Sundae,,2.07
Breakfast (Served All Day)Combo Includes Medium Tots or Fries and Medium Soft Drink or Regular Coffee,Breakfast Burrito,,2.69
Breakfast (Served All Day)Combo Includes Medium Tots or Fries and Medium Soft Drink or Regular Coffee,Breakfast Burrito – Combo,,4.77
Breakfast (Served All Day)Combo Includes Medium Tots or Fries and Medium Soft Drink or Regular Coffee,SuperSONIC Breakfast Burrito,,4.05
Breakfast (Served All Day)Combo Includes Medium Tots or Fries and Medium Soft Drink or Regular Coffee,SuperSONIC Breakfast Burrito – Combo,,6.23
Breakfast (Served All Day)Combo Includes Medium Tots or Fries and Medium Soft Drink or Regular Coffee,Breakfast TOASTER,,3.01
Breakfast (Served All Day)Combo Includes Medium Tots or Fries and Medium Soft Drink or Regular Coffee,Breakfast TOASTER – Combo,,5.09
Breakfast (Served All Day)Combo Includes Medium Tots or Fries and Medium Soft Drink or Regular Coffee,French Toast Sticks with Syrup,4 Pc.,2.59
Breakfast (Served All Day)Combo Includes Medium Tots or Fries and Medium Soft Drink or Regular Coffee,French Toast Sticks with Syrup + Drink,4 Pc.,3.63
Breakfast (Served All Day)Combo Includes Medium Tots or Fries and Medium Soft Drink or Regular Coffee,Cinnasnacks,3 Pc.,3.01
Breakfast (Served All Day)Combo Includes Medium Tots or Fries and Medium Soft Drink or Regular Coffee,Cinnasnacks – Combo,3 Pc.,4.05
Breakfast (Served All Day)Combo Includes Medium Tots or Fries and Medium Soft Drink or Regular Coffee,Cinnasnacks,5 Pc.,4.15
Breakfast (Served All Day)Combo Includes Medium Tots or Fries and Medium Soft Drink or Regular Coffee,Cinnasnacks – Combo,5 Pc.,5.19
"Kid’s MealComes with Entree, Side, and Kid-Sized Drink",Jr. Burger,,3.53
"Kid’s MealComes with Entree, Side, and Kid-Sized Drink",Chicken Strips,2 Pc.,3.73
"Kid’s MealComes with Entree, Side, and Kid-Sized Drink",Grilled Cheese,,3.11
"Kid’s MealComes with Entree, Side, and Kid-Sized Drink",Beef Hot Dog,,3.53
"Kid’s MealComes with Entree, Side, and Kid-Sized Drink",Corn Dog,,3.53
Drinks,Signature Limeades,Small,1.76
Drinks,Signature Limeades,Medium,2.07
Drinks,Signature Limeades,Large,2.38
Drinks,Signature Limeades,Route 44,2.69
Drinks,Famous Slushes,Small,1.24
Drinks,Famous Slushes,Medium,2.07
Drinks,Famous Slushes,Large,2.49
Drinks,Famous Slushes,Route 44,2.69
Drinks,Candy Slushes,Small,1.76
Drinks,Candy Slushes,Medium,2.59
Drinks,Candy Slushes,Large,3.01
Drinks,Candy Slushes,Route 44,3.21
Drinks,Real Fruit Slushes,Small,2.28
Drinks,Real Fruit Slushes,Medium,2.49
Drinks,Real Fruit Slushes,Large,2.9
Drinks,Real Fruit Slushes,Route 44,3.11
Drinks,Soft Drink,Small,1.24
Drinks,Soft Drink,Medium,1.76
Drinks,Soft Drink,Large,1.97
Drinks,Soft Drink,Route 44,2.28
Drinks,Soft Drink (Iced Tea),Gallon,4.15
Drinks,SONIC Splash,Small,1.24
Drinks,SONIC Splash,Medium,1.76
Drinks,SONIC Splash,Large,1.97
