Type,Food,Size,Price
Hot ‘n Juicy Cheeseburgers,Dave’s Hot ‘n Juicy 1/4 lb. Single with Cheese,,5.36
Hot ‘n Juicy Cheeseburgers,Dave’s Hot ‘n Juicy 1/4 lb. Single with Cheese – Combo,,7.92
Hot ‘n Juicy Cheeseburgers,Dave’s Hot ‘n Juicy 1/2 lb.. Double with Cheese,,6.64
Hot ‘n Juicy Cheeseburgers,Dave’s Hot ‘n Juicy 1/2 lb.. Double with Cheese – Combo,,9.2
Hot ‘n Juicy Cheeseburgers,Dave’s Hot ‘n Juicy 3/4 lb. Triple with Cheese,,7.8
Hot ‘n Juicy Cheeseburgers,Dave’s Hot ‘n Juicy 3/4 lb. Triple with Cheese – Combo,,10.36
Hot ‘n Juicy Cheeseburgers,Baconator,,7.8
Hot ‘n Juicy Cheeseburgers,Baconator – Combo,,10.36
Hot ‘n Juicy Cheeseburgers,Son of Baconator,,6.0
Hot ‘n Juicy Cheeseburgers,Son of Baconator – Combo,,8.56
Hot ‘n Juicy Cheeseburgers,Gouda Bacon Cheeseburger (Limited Time),,6.39
Hot ‘n Juicy Cheeseburgers,Gouda Bacon Cheeseburger – Combo (Limited Time),,8.95
Hot ‘n Juicy Cheeseburgers,Upgrade to Medium Combo,,0.77
Hot ‘n Juicy Cheeseburgers,Upgrade to Large Combo,,1.41
Tender Juicy Chicken,Spicy Chicken,,6.0
Tender Juicy Chicken,Spicy Chicken – Combo,,8.56
Tender Juicy Chicken,Homestyle Chicken,,6.0
Tender Juicy Chicken,Homestyle Chicken – Combo,,8.56
Tender Juicy Chicken,Asiago Ranch Chicken Club,,7.03
Tender Juicy Chicken,Asiago Ranch Chicken Club – Combo,,9.59
Tender Juicy Chicken,Ultimate Chicken Grill,,6.0
Tender Juicy Chicken,Ultimate Chicken Grill – Combo,,8.56
Tender Juicy Chicken,10 Pc. Chicken Nuggets – Combo,,7.67
Tender Juicy Chicken,Upgrade to Medium Combo,,0.77
Tender Juicy Chicken,Upgrade to Large Combo,,1.41
Fresh Salads,Apple Pecan Chicken,Half,6.0
Fresh Salads,Apple Pecan Chicken,Full,8.56
Fresh Salads,Asian Cashew Chicken,Half,6.0
Fresh Salads,Asian Cashew Chicken,Full,8.56
Fresh Salads,BBQ Ranch Chicken,Half,6.0
Fresh Salads,BBQ Ranch Chicken,Full,8.56
