Type,Food,Size,Price
Hot ‘n Juicy Cheeseburgers,Dave’s Hot ‘n Juicy 1/4 lb. Single with Cheese,,4.36
Hot ‘n Juicy Cheeseburgers,Dave’s Hot ‘n Juicy 1/4 lb. Single with Cheese – Combo,,6.44
Hot ‘n Juicy Cheeseburgers,Dave’s Hot ‘n Juicy 1/2 lb.. Double with Cheese,,5.4
Hot ‘n Juicy Cheeseburgers,Dave’s Hot ‘n Juicy 1/2 lb.. Double with Cheese – Combo,,7.48
Hot ‘n Juicy Cheeseburgers,Dave’s Hot ‘n Juicy 3/4 lb. Triple with Cheese,,6.33
Hot ‘n Juicy Cheeseburgers,Dave’s Hot ‘n Juicy 3/4 lb. Triple with Cheese – Combo,,8.41
Hot ‘n Juicy Cheeseburgers,Baconator,,6.33
Hot ‘n Juicy Cheeseburgers,Baconator – Combo,,8.41
Hot ‘n Juicy Cheeseburgers,Son of Baconator,,4.88
Hot ‘n Juicy Cheeseburgers,Son of Baconator – Combo,,6.96
Hot ‘n Juicy Cheeseburgers,Gouda Bacon Cheeseburger (Limited Time),,5.19
Hot ‘n Juicy Cheeseburgers,Gouda Bacon Cheeseburger – Combo (Limited Time),,7.27
Hot ‘n Juicy Cheeseburgers,Upgrade to Medium Combo,,0.62
Hot ‘n Juicy Cheeseburgers,Upgrade to Large Combo,,1.14
Tender Juicy Chicken,Spicy Chicken,,4.88
Tender Juicy Chicken,Spicy Chicken – Combo,,6.96
Tender Juicy Chicken,Homestyle Chicken,,4.88
Tender Juicy Chicken,Homestyle Chicken – Combo,,6.96
Tender Juicy Chicken,Asiago Ranch Chicken Club,,5.71
Tender Juicy Chicken,Asiago Ranch Chicken Club – Combo,,7.79
Tender Juicy Chicken,Ultimate Chicken Grill,,4.88
Tender Juicy Chicken,Ultimate Chicken Grill – Combo,,6.96
Tender Juicy Chicken,10 Pc. Chicken Nuggets – Combo,,6.23
Tender Juicy Chicken,Upgrade to Medium Combo,,0.62
Tender Juicy Chicken,Upgrade to Large Combo,,1.14
